category,title,authors,year,venue,downloaded_file,relevance_to_project
Change-point detection,Bayesian Online Changepoint Detection,Adams & MacKay,2007,arXiv 0710.3742,changepoint__arxiv_0710.3742_adams_mackay_bocpd.pdf,"FOUNDATIONAL — the exact algorithm behind your BOCPD detector (monitoring/detectors/). Primary citation."
Change-point detection,Online Learning of Order Flow and Market Impact with Bayesian Change-Point Detection,-,2023,arXiv 2307.02375,changepoint__arxiv_2307.02375_bocpd_order_flow_market_impact.pdf,"BOCPD applied to live market microstructure — extension pattern for your detector"
Change-point detection,Market Regime Detection via Realized Covariances: A Comparison,-,2021,arXiv 2104.03667,changepoint__arxiv_2104.03667_regime_detection_realized_cov.pdf,"Benchmarks regime-detection methods — comparison frame for your classical layer"
Early warning,Are Crises Predictable? A Review of Early Warning Systems in Currency and Stock Markets,-,2020,arXiv 2010.10132,earlywarning__arxiv_2010.10132_are_crises_predictable_ews_review.pdf,"Survey of crisis early-warning systems — situates your latency/FPR metrics in the EWS literature"
LLM agents (finance),TradingAgents: Multi-Agents LLM Financial Trading Framework,-,2024,arXiv 2412.20138,llm_agent__arxiv_2412.20138_tradingagents_multiagent.pdf,"CORE — multi-agent LLM trading firm (analyst/trader roles); closest architecture analogue to your news-agent + supervisor"
LLM agents (finance),Profit Mirage: Revisiting Information Leakage in LLM-based Financial Agents,-,2025,arXiv 2510.07920,llm_agent__arxiv_2510.07920_profit_mirage_info_leakage.pdf,"CORE — lookahead/training-leak in LLM financial agents; directly validates your information-parity + two-pass bias-control spine"
LLM agents (finance),FinSphere: Real-Time Stock Analysis Agent (Instruction-Tuned LLM + Tools),-,2025,arXiv 2501.12399,llm_agent__arxiv_2501.12399_finsphere_realtime_agent.pdf,"Instruction-tuned finance agent w/ tools — relevant to your Qwen fine-tune plan"
LLM agents (finance),FinVision: A Multi-Agent Framework for Stock Market Prediction,-,2024,arXiv 2411.08899,llm_agent__arxiv_2411.08899_finvision_multiagent.pdf,"Multi-agent prediction framework — design reference"
LLM agents (finance),MountainLion: Multi-Modal LLM Agent for Interpretable Adaptive Trading,-,2025,arXiv 2507.20474,llm_agent__arxiv_2507.20474_mountainlion_multimodal_agent.pdf,"Interpretable/adaptive agent — ties to your reasoning-quality rubric"
LLM agents (survey),Agentic Large Language Models: a survey,-,2025,arXiv 2503.23037,llm_agent__arxiv_2503.23037_agentic_llms_survey.pdf,"General agentic-LLM survey — background/framing for the agentic layer"
Crowding & systemic risk,Suffocating Fire Sales,-,2020,arXiv 2006.08110,crowding__arxiv_2006.08110_suffocating_fire_sales.pdf,"Fire-sale / deleveraging cascade modeling — mechanism behind the events you detect"
Crowding & systemic risk,Measuring the Crowding of Hedge Fund Trades,ECB,2007,ECB Financial Stability Review,crowding__ecb_measuring_crowding_hedge_fund_trades.pdf,"How to quantify crowding from fund returns — complements Khandani-Lo"
